Time	CellId	RNTI	BWPId	SINR(dB)
0.370893	5	11	0	44.1872
0.370929	5	12	0	32.9886
0.370964	5	13	0	62.0162
0.371107	5	15	0	31.2037
0.371179	5	14	0	28.3346
0.371214	5	1	0	55.5115
0.37125	5	2	0	59.2815
0.371286	5	3	0	41.0762
0.371321	5	4	0	42.3039
0.371357	5	5	0	34.2419
0.371393	5	11	0	44.1872
0.371429	5	12	0	32.9886
0.371464	5	13	0	62.0162
0.371571	5	15	0	31.2037
0.371607	5	14	0	28.3346
0.371643	5	1	0	55.5115
0.371679	5	2	0	59.2815
0.371714	5	3	0	41.0762
0.37175	5	4	0	42.3039
0.371786	5	5	0	34.2419
0.371821	5	11	0	44.1872
0.371893	5	12	0	32.9886
0.371964	5	13	0	62.0162
0.372071	5	15	0	31.2037
0.372107	5	14	0	28.3346
0.372143	5	1	0	55.5115
0.372179	5	2	0	59.2815
0.372214	5	3	0	41.0762
0.37225	5	4	0	42.3039
0.372286	5	5	0	34.2419
0.372321	5	11	0	44.1872
0.432464	5	1	0	55.5115
0.432964	5	1	0	55.5115
0.433464	5	1	0	55.5115
0.433964	5	1	0	55.5115
0.434464	5	1	0	55.5115
0.434964	5	1	0	55.5115
0.435464	5	1	0	55.5115
0.435964	5	1	0	55.5115
0.436464	5	1	0	55.5115
0.436964	5	1	0	55.5115
0.437464	5	1	0	55.5115
0.437964	5	1	0	55.5115
0.438464	5	1	0	55.5115
0.438964	5	1	0	55.5115
0.439464	5	1	0	55.5115
0.439964	5	1	0	55.5115
0.440464	5	1	0	55.5115
0.440964	5	1	0	55.5115
0.441464	5	1	0	55.5115
0.441964	5	1	0	55.5115
0.442464	5	1	0	55.5115
0.442964	5	1	0	55.5115
0.443464	5	1	0	55.5115
0.443964	5	1	0	55.5115
0.444464	5	1	0	55.5115
0.444964	5	1	0	55.5115
0.445464	5	1	0	55.5115
0.445929	5	1	0	55.5115
0.446464	5	1	0	55.5115
0.446929	5	1	0	55.5115
0.447464	5	1	0	55.5115
0.447964	5	1	0	55.5115
0.448429	5	1	0	55.5115
0.448964	5	1	0	55.5115
0.449464	5	1	0	55.5115
0.449964	5	1	0	55.5115
0.450464	5	1	0	55.5115
0.450964	5	1	0	55.5115
0.451464	5	1	0	55.5115
0.451964	5	1	0	55.5115
0.452464	5	1	0	55.5115
0.452964	5	1	0	55.5115
0.453464	5	1	0	55.5115
0.453964	5	1	0	55.5115
0.454429	5	1	0	55.5115
0.454929	5	1	0	55.5115
0.455464	5	1	0	55.5115
0.455964	5	1	0	55.5115
0.456429	5	1	0	55.5115
0.456964	5	1	0	55.5115
0.457464	5	1	0	55.5115
0.457964	5	1	0	55.5115
0.458464	5	1	0	55.5115
0.458964	5	1	0	55.5115
0.459464	5	1	0	55.5115
0.459964	5	1	0	55.5115
0.460464	5	1	0	55.5115
0.460964	5	1	0	55.5115
0.461464	5	1	0	55.5115
0.461964	5	1	0	55.5115
0.462464	5	1	0	55.5115
0.462964	5	1	0	55.5115
0.463464	5	1	0	55.5115
0.463964	5	1	0	55.5115
0.464464	5	1	0	55.5115
0.464929	5	1	0	55.5115
0.465464	5	1	0	55.5115
0.465964	5	1	0	55.5115
0.466464	5	1	0	55.5115
0.466964	5	1	0	55.5115
0.467464	5	1	0	55.5115
0.467964	5	1	0	55.5115
0.468464	5	1	0	55.5115
0.468964	5	1	0	55.5115
0.469464	5	1	0	55.5115
0.469929	5	1	0	55.5115
0.470464	5	1	0	55.5115
0.470964	5	1	0	55.5115
0.471429	5	1	0	55.5115
0.471929	5	1	0	55.5115
0.472464	5	1	0	55.5115
0.472821	5	1	0	55.5115
0.493464	5	2	0	59.2815
0.493964	5	2	0	59.2815
0.494429	5	2	0	59.2815
0.494929	5	2	0	59.2815
0.495464	5	2	0	59.2815
0.495964	5	2	0	59.2815
0.496429	5	2	0	59.2815
0.496964	5	2	0	59.2815
0.497464	5	2	0	59.2815
0.497964	5	2	0	59.2815
0.498464	5	2	0	59.2815
0.498964	5	2	0	59.2815
0.499464	5	2	0	59.2815
0.499964	5	2	0	59.2815
0.500464	5	2	0	59.2815
0.500964	5	2	0	59.2815
0.501464	5	2	0	59.2815
0.501964	5	2	0	59.2815
0.502464	5	2	0	59.2815
0.502964	5	2	0	59.2815
0.503464	5	2	0	59.2815
0.503964	5	2	0	59.2815
0.504464	5	2	0	59.2815
0.504929	5	2	0	59.2815
0.505464	5	2	0	59.2815
0.505964	5	2	0	59.2815
0.506464	5	2	0	59.2815
0.506964	5	2	0	59.2815
0.507464	5	2	0	59.2815
0.507964	5	2	0	59.2815
0.508464	5	2	0	59.2815
0.508964	5	2	0	59.2815
0.509464	5	2	0	59.2815
0.509929	5	2	0	59.2815
0.510464	5	2	0	59.2815
0.510964	5	2	0	59.2815
0.511429	5	2	0	59.2815
0.511929	5	2	0	59.2815
0.512464	5	2	0	59.2815
0.512964	5	2	0	59.2815
0.513464	5	2	0	59.2815
0.513964	5	2	0	59.2815
0.514464	5	2	0	59.2815
0.514964	5	2	0	59.2815
0.515464	5	2	0	59.2815
0.515964	5	2	0	59.2815
0.516464	5	2	0	59.2815
0.516964	5	2	0	59.2815
0.517464	5	2	0	59.2815
0.517964	5	2	0	59.2815
0.518464	5	2	0	59.2815
0.518964	5	2	0	59.2815
0.519464	5	2	0	59.2815
0.519964	5	2	0	59.2815
0.520464	5	2	0	59.2815
0.520964	5	2	0	59.2815
0.521464	5	2	0	59.2815
0.521964	5	2	0	59.2815
0.522464	5	2	0	59.2815
0.522964	5	2	0	59.2815
0.523464	5	2	0	59.2815
0.523964	5	2	0	59.2815
0.524464	5	2	0	59.2815
0.524964	5	2	0	59.2815
0.525464	5	2	0	59.2815
0.525929	5	2	0	59.2815
0.526464	5	2	0	59.2815
0.526929	5	2	0	59.2815
0.527464	5	2	0	59.2815
0.527964	5	2	0	59.2815
0.528429	5	2	0	59.2815
0.528964	5	2	0	59.2815
0.529464	5	2	0	59.2815
0.529964	5	2	0	59.2815
0.530464	5	2	0	59.2815
0.530964	5	2	0	59.2815
0.531464	5	2	0	59.2815
0.531964	5	2	0	59.2815
0.532464	5	2	0	59.2815
0.532964	5	2	0	59.2815
0.533464	5	2	0	59.2815
0.533821	5	2	0	59.2815
0.549464	1	1	0	27.0644
0.549964	1	1	0	27.0644
0.550464	1	1	0	27.0644
0.550964	1	1	0	27.0644
0.551464	1	1	0	27.0644
0.551964	1	1	0	27.0644
0.552464	1	1	0	27.0644
0.552964	1	1	0	27.0644
0.553464	1	1	0	27.0644
0.553964	1	1	0	27.0644
0.554464	1	1	0	27.0644
0.554964	1	1	0	27.0644
0.555464	1	1	0	27.0644
0.555964	1	1	0	27.0644
0.556464	1	1	0	27.0644
0.556964	1	1	0	27.0644
0.557429	1	1	0	27.0644
0.557929	1	1	0	27.0644
0.558464	1	1	0	27.0644
0.558964	1	1	0	27.0644
0.559464	1	1	0	27.0644
0.559964	1	1	0	27.0644
0.560464	1	1	0	27.0644
0.560964	1	1	0	27.0644
0.561464	1	1	0	27.0644
0.561964	1	1	0	27.0644
0.562464	1	1	0	27.0644
0.562929	1	1	0	27.0644
0.563464	1	1	0	27.0644
0.563964	1	1	0	27.0644
0.564464	1	1	0	27.0644
0.564964	1	1	0	27.0644
0.565464	1	1	0	27.0644
0.565964	1	1	0	27.0644
0.566429	1	1	0	27.0644
0.566964	1	1	0	27.0644
0.567464	1	1	0	27.0644
0.567964	1	1	0	27.0644
0.568464	1	1	0	27.0644
0.568964	1	1	0	27.0644
0.569464	1	1	0	27.0644
0.569929	1	1	0	27.0644
0.570464	1	1	0	27.0644
0.570964	1	1	0	27.0644
0.571464	1	1	0	27.0644
0.571964	1	1	0	27.0644
0.572464	1	1	0	27.0644
0.572964	1	1	0	27.0644
0.573429	1	1	0	27.0644
0.573929	1	1	0	27.0644
0.574464	1	1	0	27.0644
0.574964	1	1	0	27.0644
0.575464	1	1	0	27.0644
0.575929	1	1	0	27.0644
0.576464	1	1	0	27.0644
0.576964	1	1	0	27.0644
0.577464	1	1	0	27.0644
0.577964	1	1	0	27.0644
0.578464	1	1	0	27.0644
0.578964	1	1	0	27.0644
0.579464	1	1	0	27.0644
0.579964	1	1	0	27.0644
0.580464	1	1	0	27.0644
0.580964	1	1	0	27.0644
0.581464	1	1	0	27.0644
0.581964	1	1	0	27.0644
0.582464	1	1	0	27.0644
0.582964	1	1	0	27.0644
0.583429	1	1	0	27.0644
0.583964	1	1	0	27.0644
0.584464	1	1	0	27.0644
0.584964	1	1	0	27.0644
0.585464	1	1	0	27.0644
0.585964	1	1	0	27.0644
0.586464	1	1	0	27.0644
0.586964	1	1	0	27.0644
0.587429	1	1	0	27.0644
0.587964	1	1	0	27.0644
0.588464	1	1	0	27.0644
0.588964	1	1	0	27.0644
0.589464	1	1	0	27.0644
0.589964	1	1	0	27.0644
0.590464	1	1	0	27.0644
0.590964	1	1	0	27.0644
0.591464	1	1	0	27.0644
0.591964	1	1	0	27.0644
0.592464	1	1	0	27.0644
0.592964	1	1	0	27.0644
0.593464	1	1	0	27.0644
0.593964	1	1	0	27.0644
0.594464	1	1	0	27.0644
0.594464	5	3	0	41.0762
0.594964	1	1	0	27.0644
0.594964	5	3	0	41.0762
0.595464	1	1	0	27.0644
0.595464	5	3	0	41.0762
0.595964	1	1	0	27.0644
0.595964	5	3	0	41.0762
0.596464	1	1	0	27.0644
0.596464	5	3	0	41.0762
0.596964	1	1	0	27.0644
0.596964	5	3	0	41.0762
0.597429	1	1	0	27.0644
0.597464	5	3	0	41.0762
0.597929	1	1	0	27.0644
0.597964	5	3	0	41.0762
0.598321	1	1	0	27.0644
0.598464	5	3	0	41.0762
0.598964	5	3	0	41.0762
0.599464	5	3	0	41.0762
0.599964	5	3	0	41.0762
0.600464	5	3	0	41.0762
