time(s)	cellId	rnti	lcid	packetSize
0.439	5	1	3	6485
0.4395	5	1	3	6485
0.44	5	1	3	6485
0.4405	5	1	3	6485
0.441	5	1	3	6485
0.4415	5	1	3	6485
0.442	5	1	3	6485
0.4425	5	1	3	6485
0.443	5	1	3	6485
0.4435	5	1	3	6485
0.444	5	1	3	6485
0.4445	5	1	3	5946
0.445	5	1	3	6485
0.4455	5	1	3	5946
0.446	5	1	3	6485
0.4465	5	1	3	6485
0.447	5	1	3	5946
0.4475	5	1	3	6485
0.448	5	1	3	6485
0.4485	5	1	3	6485
0.449	5	1	3	6485
0.4495	5	1	3	6485
0.45	5	1	3	6485
0.4505	5	1	3	6485
0.451	5	1	3	6485
0.4515	5	1	3	6485
0.452	5	1	3	6485
0.4525	5	1	3	6485
0.453	5	1	3	5946
0.4535	5	1	3	5946
0.454	5	1	3	6485
0.4545	5	1	3	6485
0.455	5	1	3	5946
0.4555	5	1	3	6485
0.456	5	1	3	6485
0.4565	5	1	3	6485
0.457	5	1	3	6485
0.4575	5	1	3	6485
0.458	5	1	3	6485
0.4585	5	1	3	6485
0.459	5	1	3	6485
0.4595	5	1	3	6485
0.46	5	1	3	6485
0.4605	5	1	3	6485
0.461	5	1	3	6485
0.4615	5	1	3	6485
0.462	5	1	3	6485
0.4625	5	1	3	6485
0.463	5	1	3	6485
0.4635	5	1	3	5946
0.464	5	1	3	6485
0.4645	5	1	3	6485
0.465	5	1	3	6485
0.4655	5	1	3	6485
0.466	5	1	3	6485
0.4665	5	1	3	6485
0.467	5	1	3	6485
0.4675	5	1	3	6485
0.468	5	1	3	6485
0.4685	5	1	3	5946
0.469	5	1	3	6485
0.4695	5	1	3	6485
0.47	5	1	3	5946
0.4705	5	1	3	5946
0.471	5	1	3	6485
0.4715	5	1	3	4024
0.492	5	2	3	6485
0.4925	5	2	3	6485
0.493	5	2	3	5946
0.4935	5	2	3	5946
0.494	5	2	3	6485
0.4945	5	2	3	6485
0.495	5	2	3	5946
0.4955	5	2	3	6485
0.496	5	2	3	6485
0.4965	5	2	3	6485
0.497	5	2	3	6485
0.4975	5	2	3	6485
0.498	5	2	3	6485
0.4985	5	2	3	6485
0.499	5	2	3	6485
0.4995	5	2	3	6485
0.5	5	2	3	6485
0.5005	5	2	3	6485
0.501	5	2	3	6485
0.5015	5	2	3	6485
0.502	5	2	3	6485
0.5025	5	2	3	6485
0.503	5	2	3	6485
0.5035	5	2	3	5946
0.504	5	2	3	6485
0.5045	5	2	3	6485
0.505	5	2	3	6485
0.5055	5	2	3	6485
0.506	5	2	3	6485
0.5065	5	2	3	6485
0.507	5	2	3	6485
0.5075	5	2	3	6485
0.508	5	2	3	6485
0.5085	5	2	3	5946
0.509	5	2	3	6485
0.5095	5	2	3	6485
0.51	5	2	3	5946
0.5105	5	2	3	5946
0.511	5	2	3	6485
0.5115	5	2	3	6485
0.512	5	2	3	6485
0.5125	5	2	3	6485
0.513	5	2	3	6485
0.5135	5	2	3	6485
0.514	5	2	3	6485
0.5145	5	2	3	6485
0.515	5	2	3	6485
0.5155	5	2	3	6485
0.516	5	2	3	6485
0.5165	5	2	3	6485
0.517	5	2	3	6485
0.5175	5	2	3	6485
0.518	5	2	3	6485
0.5185	5	2	3	6485
0.519	5	2	3	6485
0.5195	5	2	3	6485
0.52	5	2	3	6485
0.5205	5	2	3	6485
0.521	5	2	3	6485
0.5215	5	2	3	6485
0.522	5	2	3	6485
0.5225	5	2	3	6485
0.523	5	2	3	6485
0.5235	5	2	3	6485
0.524	5	2	3	6485
0.5245	5	2	3	5946
0.525	5	2	3	6485
0.5255	5	2	3	5946
0.526	5	2	3	6485
0.5265	5	2	3	6485
0.527	5	2	3	5946
0.5275	5	2	3	6485
0.528	5	2	3	6485
0.5285	5	2	3	6485
0.529	5	2	3	6485
0.5295	5	2	3	6485
0.53	5	2	3	6485
0.5305	5	2	3	6485
0.531	5	2	3	6485
0.5315	5	2	3	6485
0.532	5	2	3	6485
0.5325	5	2	3	4024
0.548	1	1	3	5368
0.5485	1	1	3	5368
0.549	1	1	3	5368
0.5495	1	1	3	5368
0.55	1	1	3	5368
0.5505	1	1	3	5368
0.551	1	1	3	5368
0.5515	1	1	3	5368
0.552	1	1	3	5368
0.5525	1	1	3	5368
0.553	1	1	3	5368
0.5535	1	1	3	5368
0.554	1	1	3	5368
0.5545	1	1	3	5368
0.555	1	1	3	5368
0.5555	1	1	3	5368
0.556	1	1	3	4923
0.5565	1	1	3	4923
0.557	1	1	3	5368
0.5575	1	1	3	5368
0.558	1	1	3	5368
0.5585	1	1	3	5368
0.559	1	1	3	5368
0.5595	1	1	3	5368
0.56	1	1	3	5368
0.5605	1	1	3	5368
0.561	1	1	3	5368
0.5615	1	1	3	4923
