Time	Entity	Frame	SF	Slot	nodeId	RNTI	bwpId	Harq ID	K1 Delay
0.312036	DL DCI Rxed	31	2	0	1	13	0	15	2
0.312036	DL DCI Rxed	31	2	0	1	14	0	15	2
0.312464	HARQ FD Txed	31	2	0	1	14	0	12	2
0.312464	HARQ FD Txed	31	2	0	1	1	0	12	2
0.312464	HARQ FD Txed	31	2	0	1	2	0	12	2
0.312464	HARQ FD Txed	31	2	0	1	3	0	12	2
0.312464	HARQ FD Txed	31	2	0	1	4	0	12	2
0.312464	HARQ FD Txed	31	2	0	1	5	0	12	2
0.312464	HARQ FD Txed	31	2	0	1	6	0	12	2
0.312464	HARQ FD Txed	31	2	0	1	11	0	12	2
0.312464	HARQ FD Txed	31	2	0	1	12	0	12	2
0.312464	HARQ FD Txed	31	2	0	1	13	0	12	2
0.312536	DL DCI Rxed	31	2	1	1	1	0	14	2
0.312536	DL DCI Rxed	31	2	1	1	2	0	14	2
0.312536	DL DCI Rxed	31	2	1	1	3	0	14	2
0.312536	DL DCI Rxed	31	2	1	1	4	0	14	2
0.312536	DL DCI Rxed	31	2	1	1	5	0	14	2
0.312536	DL DCI Rxed	31	2	1	1	6	0	14	2
0.312536	DL DCI Rxed	31	2	1	1	11	0	14	2
0.312536	DL DCI Rxed	31	2	1	1	14	0	14	2
0.312964	HARQ FD Txed	31	2	1	1	12	0	11	2
0.312964	HARQ FD Txed	31	2	1	1	13	0	11	2
0.312964	HARQ FD Txed	31	2	1	1	14	0	11	2
0.312964	HARQ FD Txed	31	2	1	1	1	0	11	2
0.312964	HARQ FD Txed	31	2	1	1	2	0	11	2
0.312964	HARQ FD Txed	31	2	1	1	3	0	11	2
0.312964	HARQ FD Txed	31	2	1	1	4	0	11	2
0.312964	HARQ FD Txed	31	2	1	1	5	0	11	2
0.312964	HARQ FD Txed	31	2	1	1	6	0	11	2
0.312964	HARQ FD Txed	31	2	1	1	11	0	11	2
0.313464	HARQ FD Txed	31	3	0	1	12	0	15	2
0.313464	HARQ FD Txed	31	3	0	1	13	0	15	2
0.313464	HARQ FD Txed	31	3	0	1	14	0	15	2
0.313464	HARQ FD Txed	31	3	0	1	1	0	15	2
0.313464	HARQ FD Txed	31	3	0	1	2	0	15	2
0.313464	HARQ FD Txed	31	3	0	1	3	0	15	2
0.313464	HARQ FD Txed	31	3	0	1	4	0	15	2
0.313464	HARQ FD Txed	31	3	0	1	5	0	15	2
0.313464	HARQ FD Txed	31	3	0	1	6	0	15	2
0.313464	HARQ FD Txed	31	3	0	1	11	0	15	2
0.313964	HARQ FD Txed	31	3	1	1	14	0	14	2
0.313964	HARQ FD Txed	31	3	1	1	1	0	14	2
0.313964	HARQ FD Txed	31	3	1	1	2	0	14	2
0.313964	HARQ FD Txed	31	3	1	1	3	0	14	2
0.313964	HARQ FD Txed	31	3	1	1	4	0	14	2
0.313964	HARQ FD Txed	31	3	1	1	5	0	14	2
0.313964	HARQ FD Txed	31	3	1	1	6	0	14	2
0.313964	HARQ FD Txed	31	3	1	1	11	0	14	2
0.360036	DL DCI Rxed	36	0	0	3	1	0	15	2
0.360036	DL DCI Rxed	36	0	0	3	2	0	15	2
0.360036	DL DCI Rxed	36	0	0	3	3	0	15	2
0.360036	DL DCI Rxed	36	0	0	3	4	0	15	2
0.360036	DL DCI Rxed	36	0	0	3	5	0	15	2
0.360036	DL DCI Rxed	36	0	0	3	6	0	15	2
0.360036	DL DCI Rxed	36	0	0	3	11	0	15	2
0.360036	DL DCI Rxed	36	0	0	3	12	0	15	2
0.360036	DL DCI Rxed	36	0	0	3	13	0	15	2
0.360036	DL DCI Rxed	36	0	0	3	14	0	15	2
0.360536	DL DCI Rxed	36	0	1	3	1	0	14	2
0.360536	DL DCI Rxed	36	0	1	3	2	0	14	2
0.360536	DL DCI Rxed	36	0	1	3	3	0	14	2
0.360536	DL DCI Rxed	36	0	1	3	4	0	14	2
0.360536	DL DCI Rxed	36	0	1	3	5	0	14	2
0.360536	DL DCI Rxed	36	0	1	3	6	0	14	2
0.360536	DL DCI Rxed	36	0	1	3	11	0	14	2
0.360536	DL DCI Rxed	36	0	1	3	12	0	14	2
0.360536	DL DCI Rxed	36	0	1	3	13	0	14	2
0.360536	DL DCI Rxed	36	0	1	3	14	0	14	2
0.361036	DL DCI Rxed	36	1	0	3	1	0	13	2
0.361036	DL DCI Rxed	36	1	0	3	2	0	13	2
0.361036	DL DCI Rxed	36	1	0	3	3	0	13	2
0.361036	DL DCI Rxed	36	1	0	3	4	0	13	2
0.361036	DL DCI Rxed	36	1	0	3	5	0	13	2
0.361036	DL DCI Rxed	36	1	0	3	6	0	13	2
0.361036	DL DCI Rxed	36	1	0	3	11	0	13	2
0.361036	DL DCI Rxed	36	1	0	3	12	0	13	2
0.361036	DL DCI Rxed	36	1	0	3	13	0	13	2
0.361036	DL DCI Rxed	36	1	0	3	14	0	13	2
0.361464	HARQ FD Txed	36	1	0	3	14	0	15	2
0.361464	HARQ FD Txed	36	1	0	3	1	0	15	2
0.361464	HARQ FD Txed	36	1	0	3	2	0	15	2
0.361464	HARQ FD Txed	36	1	0	3	3	0	15	2
0.361464	HARQ FD Txed	36	1	0	3	4	0	15	2
0.361464	HARQ FD Txed	36	1	0	3	5	0	15	2
0.361464	HARQ FD Txed	36	1	0	3	6	0	15	2
0.361464	HARQ FD Txed	36	1	0	3	11	0	15	2
0.361464	HARQ FD Txed	36	1	0	3	12	0	15	2
0.361464	HARQ FD Txed	36	1	0	3	13	0	15	2
0.361536	DL DCI Rxed	36	1	1	3	1	0	12	2
0.361536	DL DCI Rxed	36	1	1	3	2	0	12	2
0.361536	DL DCI Rxed	36	1	1	3	3	0	12	2
0.361536	DL DCI Rxed	36	1	1	3	4	0	12	2
0.361536	DL DCI Rxed	36	1	1	3	5	0	12	2
0.361536	DL DCI Rxed	36	1	1	3	6	0	12	2
0.361536	DL DCI Rxed	36	1	1	3	11	0	12	2
0.361536	DL DCI Rxed	36	1	1	3	12	0	12	2
0.361536	DL DCI Rxed	36	1	1	3	13	0	12	2
0.361536	DL DCI Rxed	36	1	1	3	14	0	12	2
0.361964	HARQ FD Txed	36	1	1	3	14	0	14	2
0.361964	HARQ FD Txed	36	1	1	3	1	0	14	2
0.361964	HARQ FD Txed	36	1	1	3	2	0	14	2
0.361964	HARQ FD Txed	36	1	1	3	3	0	14	2
0.361964	HARQ FD Txed	36	1	1	3	4	0	14	2
0.361964	HARQ FD Txed	36	1	1	3	6	0	14	2
0.361964	HARQ FD Txed	36	1	1	3	11	0	14	2
0.361964	HARQ FD Txed	36	1	1	3	12	0	14	2
0.361964	HARQ FD Txed	36	1	1	3	13	0	14	2
0.361964	HARQ FD Txed	36	1	1	3	5	0	14	2
0.362036	DL DCI Rxed	36	2	0	3	1	0	11	2
0.362036	DL DCI Rxed	36	2	0	3	2	0	11	2
0.362036	DL DCI Rxed	36	2	0	3	3	0	11	2
0.362036	DL DCI Rxed	36	2	0	3	4	0	11	2
0.362036	DL DCI Rxed	36	2	0	3	5	0	11	2
0.362036	DL DCI Rxed	36	2	0	3	6	0	11	2
0.362036	DL DCI Rxed	36	2	0	3	11	0	11	2
0.362036	DL DCI Rxed	36	2	0	3	12	0	11	2
0.362036	DL DCI Rxed	36	2	0	3	13	0	11	2
0.362036	DL DCI Rxed	36	2	0	3	14	0	11	2
0.362464	HARQ FD Txed	36	2	0	3	14	0	13	2
0.362464	HARQ FD Txed	36	2	0	3	1	0	13	2
0.362464	HARQ FD Txed	36	2	0	3	2	0	13	2
0.362464	HARQ FD Txed	36	2	0	3	3	0	13	2
0.362464	HARQ FD Txed	36	2	0	3	4	0	13	2
0.362464	HARQ FD Txed	36	2	0	3	5	0	13	2
0.362464	HARQ FD Txed	36	2	0	3	6	0	13	2
0.362464	HARQ FD Txed	36	2	0	3	11	0	13	2
0.362464	HARQ FD Txed	36	2	0	3	12	0	13	2
0.362464	HARQ FD Txed	36	2	0	3	13	0	13	2
0.362536	DL DCI Rxed	36	2	1	3	1	0	15	2
0.362536	DL DCI Rxed	36	2	1	3	2	0	15	2
0.362536	DL DCI Rxed	36	2	1	3	3	0	15	2
0.362536	DL DCI Rxed	36	2	1	3	4	0	15	2
0.362536	DL DCI Rxed	36	2	1	3	5	0	15	2
0.362536	DL DCI Rxed	36	2	1	3	6	0	15	2
0.362536	DL DCI Rxed	36	2	1	3	11	0	15	2
0.362536	DL DCI Rxed	36	2	1	3	12	0	15	2
0.362536	DL DCI Rxed	36	2	1	3	13	0	15	2
0.362536	DL DCI Rxed	36	2	1	3	14	0	15	2
0.362964	HARQ FD Txed	36	2	1	3	14	0	12	2
0.362964	HARQ FD Txed	36	2	1	3	1	0	12	2
0.362964	HARQ FD Txed	36	2	1	3	2	0	12	2
0.362964	HARQ FD Txed	36	2	1	3	3	0	12	2
0.362964	HARQ FD Txed	36	2	1	3	4	0	12	2
0.362964	HARQ FD Txed	36	2	1	3	5	0	12	2
0.362964	HARQ FD Txed	36	2	1	3	6	0	12	2
0.362964	HARQ FD Txed	36	2	1	3	11	0	12	2
0.362964	HARQ FD Txed	36	2	1	3	12	0	12	2
0.362964	HARQ FD Txed	36	2	1	3	13	0	12	2
0.363036	DL DCI Rxed	36	3	0	3	1	0	14	2
0.363036	DL DCI Rxed	36	3	0	3	2	0	14	2
0.363036	DL DCI Rxed	36	3	0	3	3	0	14	2
0.363036	DL DCI Rxed	36	3	0	3	4	0	14	2
0.363036	DL DCI Rxed	36	3	0	3	5	0	14	2
0.363036	DL DCI Rxed	36	3	0	3	6	0	14	2
0.363036	DL DCI Rxed	36	3	0	3	11	0	14	2
0.363036	DL DCI Rxed	36	3	0	3	12	0	14	2
0.363036	DL DCI Rxed	36	3	0	3	14	0	14	2
0.363464	HARQ FD Txed	36	3	0	3	13	0	11	2
0.363464	HARQ FD Txed	36	3	0	3	14	0	11	2
0.363464	HARQ FD Txed	36	3	0	3	1	0	11	2
0.363464	HARQ FD Txed	36	3	0	3	2	0	11	2
0.363464	HARQ FD Txed	36	3	0	3	3	0	11	2
0.363464	HARQ FD Txed	36	3	0	3	4	0	11	2
0.363464	HARQ FD Txed	36	3	0	3	5	0	11	2
0.363464	HARQ FD Txed	36	3	0	3	6	0	11	2
0.363464	HARQ FD Txed	36	3	0	3	11	0	11	2
0.363464	HARQ FD Txed	36	3	0	3	12	0	11	2
0.363964	HARQ FD Txed	36	3	1	3	13	0	15	2
0.363964	HARQ FD Txed	36	3	1	3	14	0	15	2
0.363964	HARQ FD Txed	36	3	1	3	1	0	15	2
0.363964	HARQ FD Txed	36	3	1	3	2	0	15	2
0.363964	HARQ FD Txed	36	3	1	3	3	0	15	2
0.363964	HARQ FD Txed	36	3	1	3	4	0	15	2
0.363964	HARQ FD Txed	36	3	1	3	5	0	15	2
0.363964	HARQ FD Txed	36	3	1	3	6	0	15	2
0.363964	HARQ FD Txed	36	3	1	3	11	0	15	2
0.363964	HARQ FD Txed	36	3	1	3	12	0	15	2
0.364464	HARQ FD Txed	36	4	0	3	14	0	14	2
0.364464	HARQ FD Txed	36	4	0	3	1	0	14	2
0.364464	HARQ FD Txed	36	4	0	3	2	0	14	2
0.364464	HARQ FD Txed	36	4	0	3	3	0	14	2
