% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
0.3675	3	0	0	13	36	9	1	5	1	15	1	0	23	445
0.3675	3	0	0	12	36	9	1	6	1	15	1	0	15	281
0.3675	3	0	0	11	36	9	1	7	1	15	1	0	15	281
0.3675	3	0	0	6	36	9	1	8	1	15	1	0	14	259
0.3675	3	0	0	5	36	9	1	9	1	15	1	0	6	119
0.3675	3	0	0	4	36	9	1	10	1	15	1	0	21	399
0.3675	3	0	0	3	36	9	1	11	1	15	1	0	15	281
0.3675	3	0	0	2	36	9	1	12	1	15	1	0	27	539
0.368	3	0	0	11	37	0	0	5	1	14	1	0	15	281
0.368	3	0	0	6	37	0	0	6	1	14	1	0	14	259
0.368	3	0	0	5	37	0	0	7	1	14	1	0	6	119
0.368	3	0	0	4	37	0	0	8	1	14	1	0	21	399
0.368	3	0	0	3	37	0	0	9	1	14	1	0	15	281
0.368	3	0	0	2	37	0	0	10	1	14	1	0	27	539
0.368	3	0	0	1	37	0	0	11	1	15	1	0	18	346
0.368	3	0	0	14	37	0	0	12	1	15	1	0	25	498
0.3685	3	0	0	3	37	0	1	9	1	13	1	0	15	281
0.3685	3	0	0	2	37	0	1	10	1	13	1	0	27	539
0.3685	3	0	0	1	37	0	1	11	1	14	1	0	18	346
0.3685	3	0	0	14	37	0	1	12	1	14	1	0	25	498
0.369	3	0	0	14	37	1	0	12	1	13	1	0	25	498
0.37	3	0	0	6	37	2	0	12	1	15	0	1	14	259
0.3735	5	0	0	12	37	5	1	11	2	15	1	0	0	31
0.374	5	0	0	13	37	6	0	1	2	15	1	0	0	31
0.374	5	0	0	11	37	6	0	3	2	15	1	0	0	31
0.374	5	0	0	5	37	6	0	5	2	15	1	0	0	31
0.374	5	0	0	4	37	6	0	7	1	15	1	0	0	14
0.374	5	0	0	3	37	6	0	8	1	15	1	0	0	14
0.374	5	0	0	2	37	6	0	9	1	15	1	0	0	14
0.374	5	0	0	1	37	6	0	10	1	15	1	0	0	14
0.374	5	0	0	15	37	6	0	11	1	15	1	0	0	14
0.3745	5	0	0	4	37	6	1	1	2	14	1	0	0	31
0.3745	5	0	0	3	37	6	1	3	2	14	1	0	0	31
0.3745	5	0	0	2	37	6	1	5	2	14	1	0	0	31
0.3745	5	0	0	1	37	6	1	7	2	14	1	0	0	31
0.3745	5	0	0	14	37	6	1	9	2	15	1	0	0	31
0.3745	5	0	0	15	37	6	1	11	2	14	1	0	0	31
0.3765	5	0	0	13	37	8	1	5	1	15	1	0	27	539
0.3765	5	0	0	12	37	8	1	6	1	15	1	0	20	387
0.3765	5	0	0	11	37	8	1	7	1	15	1	0	23	445
0.3765	5	0	0	5	37	8	1	8	1	15	1	0	21	399
0.3765	5	0	0	4	37	8	1	9	1	15	1	0	23	445
0.3765	5	0	0	3	37	8	1	10	1	15	1	0	25	498
0.3765	5	0	0	2	37	8	1	11	1	15	1	0	27	539
0.3765	5	0	0	1	37	8	1	12	1	15	1	0	27	539
0.377	5	0	0	4	37	9	0	7	1	14	1	0	23	445
0.377	5	0	0	3	37	9	0	8	1	14	1	0	25	498
0.377	5	0	0	2	37	9	0	9	1	14	1	0	27	539
0.377	5	0	0	1	37	9	0	10	1	14	1	0	27	539
0.377	5	0	0	14	37	9	0	11	1	15	1	0	16	303
0.377	5	0	0	15	37	9	0	12	1	15	1	0	17	324
0.3775	5	0	0	15	37	9	1	12	1	14	1	0	17	324
2.603	1	0	0	1	260	5	0	11	2	15	1	0	0	31
2.606	1	0	0	1	260	8	0	2	11	15	1	0	14	2879
2.6085	1	0	0	1	261	0	1	2	11	15	0	1	14	2879
2.6115	1	0	0	1	261	3	1	6	6	15	1	0	14	1571
2.6145	1	0	0	1	261	6	1	9	4	15	1	0	14	1046
2.6175	1	0	0	1	261	9	1	9	4	15	1	0	14	1046
2.6205	1	0	0	1	262	2	1	7	6	15	1	0	14	1571
2.6235	1	0	0	1	262	5	1	9	4	15	1	0	14	1046
2.6265	1	0	0	1	262	8	1	9	4	15	1	0	14	1046
2.6295	1	0	0	1	263	1	1	10	3	15	1	0	14	784
2.632	1	0	0	1	263	4	0	10	3	15	0	1	14	784
