Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
0.022	3	0	7	-96.2002
0.022	3	0	10	-106.523
0.022	3	0	13	-112.759
0.022	3	0	16	-107.008
0.022	3	0	19	-110.182
0.022	3	0	22	-114.926
0.022	3	0	25	-115.525
0.022	3	0	28	-107.346
0.022	3	0	31	-100.317
0.022	5	0	5	-93.4123
0.022	5	0	8	-92.0396
0.022	5	0	11	-102.569
0.022	5	0	14	-102.507
0.022	5	0	17	-110.871
0.022	5	0	20	-97.6195
0.022	5	0	23	-111.895
0.022	5	0	26	-85.9646
0.022	5	0	29	-107.965
0.022	5	0	32	-115.839
0.023	5	0	5	-93.4123
0.023	5	0	8	-92.0396
0.023	5	0	11	-102.569
0.023	5	0	14	-102.507
0.023	5	0	17	-110.871
0.023	5	0	20	-97.6195
0.023	5	0	23	-111.895
0.023	5	0	26	-85.9646
0.023	5	0	29	-107.965
0.023	5	0	32	-115.839
0.0235	5	0	5	-93.4123
0.0235	5	0	8	-92.0396
0.0235	5	0	11	-102.569
0.0235	5	0	14	-102.507
0.0235	5	0	17	-110.871
0.0235	5	0	20	-97.6195
0.0235	5	0	23	-111.895
0.0235	5	0	26	-85.9646
0.0235	5	0	29	-107.965
0.0235	5	0	32	-115.839
0.024	3	0	4	-113.828
0.024	3	0	7	-96.2002
0.024	3	0	10	-106.523
0.024	3	0	13	-112.759
0.024	3	0	16	-107.008
0.024	3	0	19	-110.182
0.024	3	0	22	-114.926
0.024	3	0	25	-115.525
0.024	3	0	28	-107.346
0.024	3	0	31	-100.317
0.025	1	0	3	-114.19
0.025	1	0	6	-108.316
0.025	1	0	9	-109.928
0.025	1	0	12	-110.333
0.025	1	0	15	-112.144
0.025	1	0	18	-111.712
0.025	1	0	21	-113.687
0.025	1	0	24	-109.714
0.025	1	0	27	-107.861
0.025	1	0	30	-110.066
0.025	3	0	4	-113.828
0.025	3	0	7	-96.2002
0.025	3	0	10	-106.523
0.025	3	0	13	-112.759
0.025	3	0	16	-107.008
0.025	3	0	19	-110.182
0.025	3	0	22	-114.926
0.025	3	0	25	-115.525
0.025	3	0	28	-107.346
0.025	3	0	31	-100.317
0.025	5	0	5	-93.4123
0.025	5	0	8	-92.0396
0.025	5	0	11	-102.569
0.025	5	0	14	-102.507
0.025	5	0	17	-110.871
0.025	5	0	20	-97.6195
0.025	5	0	23	-111.895
0.025	5	0	26	-85.9646
0.025	5	0	29	-107.965
0.025	5	0	32	-115.839
0.026	1	0	3	-114.19
0.026	1	0	6	-108.316
0.026	1	0	9	-109.928
0.026	1	0	12	-110.333
0.026	1	0	15	-112.144
0.026	1	0	18	-111.712
0.026	1	0	21	-113.687
0.026	1	0	24	-109.714
0.026	1	0	27	-107.861
0.026	1	0	30	-110.066
0.026	3	0	4	-113.828
0.026	3	0	7	-96.2002
0.026	3	0	10	-106.523
0.026	3	0	13	-112.759
0.026	3	0	16	-107.008
0.026	3	0	19	-110.182
0.026	3	0	22	-114.926
0.026	3	0	25	-115.525
0.026	3	0	28	-107.346
0.026	3	0	31	-100.317
0.028	5	0	5	-93.4123
0.028	5	0	8	-92.0396
0.028	5	0	11	-102.569
0.028	5	0	14	-102.507
0.028	5	0	17	-110.871
0.028	5	0	20	-97.6195
0.028	5	0	23	-111.895
0.028	5	0	26	-85.9646
0.028	5	0	29	-107.965
0.028	5	0	32	-115.839
0.0285	5	0	5	-93.4123
0.0285	5	0	8	-92.0396
0.0285	5	0	11	-102.569
0.0285	5	0	14	-102.507
0.0285	5	0	17	-110.871
0.0285	5	0	20	-97.6195
0.0285	5	0	23	-111.895
0.0285	5	0	26	-85.9646
0.0285	5	0	29	-107.965
0.0285	5	0	32	-115.839
0.029	3	0	4	-113.828
0.029	3	0	7	-96.2002
0.029	3	0	10	-106.523
0.029	3	0	13	-112.759
0.029	3	0	16	-107.008
