time(s)	cellId	rnti	lcid	packetSize
0.431031	5	1	3	1478
0.431032	5	1	3	1478
0.431033	5	1	3	1478
0.431034	5	1	3	1478
0.431035	5	1	3	1478
0.431037	5	1	3	1478
0.431038	5	1	3	1478
0.431039	5	1	3	1478
0.43104	5	1	3	1478
0.431042	5	1	3	1478
0.431043	5	1	3	1478
0.431044	5	1	3	1478
0.431045	5	1	3	1478
0.431046	5	1	3	1478
0.431048	5	1	3	1478
0.431049	5	1	3	1478
0.43105	5	1	3	1478
0.431051	5	1	3	1478
0.431052	5	1	3	1478
0.431054	5	1	3	1478
0.431055	5	1	3	1478
0.431056	5	1	3	1478
0.431057	5	1	3	1478
0.431059	5	1	3	1478
0.43106	5	1	3	1478
0.431061	5	1	3	1478
0.431062	5	1	3	1478
0.431063	5	1	3	1478
0.431065	5	1	3	1478
0.431066	5	1	3	1478
0.431067	5	1	3	1478
0.431068	5	1	3	1478
0.431069	5	1	3	1478
0.431071	5	1	3	1478
0.431072	5	1	3	1478
0.431073	5	1	3	1478
0.431074	5	1	3	1478
0.431076	5	1	3	1478
0.431077	5	1	3	1478
0.431078	5	1	3	1478
0.431079	5	1	3	1478
0.43108	5	1	3	1478
0.431082	5	1	3	1478
0.431083	5	1	3	1478
0.431084	5	1	3	1478
0.431085	5	1	3	1478
0.431086	5	1	3	1478
0.431088	5	1	3	1478
0.431089	5	1	3	1478
0.43109	5	1	3	1478
0.431091	5	1	3	1478
0.431092	5	1	3	1478
0.431094	5	1	3	1478
0.431095	5	1	3	1478
0.431096	5	1	3	1478
0.431097	5	1	3	1478
0.431099	5	1	3	1478
0.4311	5	1	3	1478
0.431101	5	1	3	1478
0.431102	5	1	3	1478
0.431103	5	1	3	1478
0.431105	5	1	3	1478
0.431106	5	1	3	1478
0.431107	5	1	3	1478
0.431108	5	1	3	1478
0.431109	5	1	3	1478
0.431111	5	1	3	1478
0.431112	5	1	3	1478
0.431113	5	1	3	1478
0.431114	5	1	3	1478
0.431116	5	1	3	1478
0.431117	5	1	3	1478
0.431118	5	1	3	1478
0.431119	5	1	3	1478
0.43112	5	1	3	1478
0.431122	5	1	3	1478
0.431123	5	1	3	1478
0.431124	5	1	3	1478
0.431125	5	1	3	1478
0.431126	5	1	3	1478
0.431128	5	1	3	1478
0.431129	5	1	3	1478
0.43113	5	1	3	1478
0.431131	5	1	3	1478
0.431133	5	1	3	1478
0.431134	5	1	3	1478
0.431135	5	1	3	1478
0.431136	5	1	3	1478
0.431137	5	1	3	1478
0.431139	5	1	3	1478
0.43114	5	1	3	1478
0.431141	5	1	3	1478
0.431142	5	1	3	1478
0.431143	5	1	3	1478
0.431145	5	1	3	1478
0.431146	5	1	3	1478
0.431147	5	1	3	1478
0.431148	5	1	3	1478
0.43115	5	1	3	1478
0.431151	5	1	3	1478
0.431152	5	1	3	1478
0.431153	5	1	3	1478
0.431154	5	1	3	1478
0.431156	5	1	3	1478
0.431157	5	1	3	1478
0.431158	5	1	3	1478
0.431159	5	1	3	1478
0.43116	5	1	3	1478
0.431162	5	1	3	1478
0.431163	5	1	3	1478
0.431164	5	1	3	1478
0.431165	5	1	3	1478
0.431167	5	1	3	1478
0.431168	5	1	3	1478
0.431169	5	1	3	1478
0.43117	5	1	3	1478
0.431171	5	1	3	1478
0.431173	5	1	3	1478
0.431174	5	1	3	1478
0.431175	5	1	3	1478
0.431176	5	1	3	1478
0.431177	5	1	3	1478
0.431179	5	1	3	1478
0.43118	5	1	3	1478
0.431181	5	1	3	1478
0.431182	5	1	3	1478
0.431184	5	1	3	1478
0.431185	5	1	3	1478
0.431186	5	1	3	1478
0.431187	5	1	3	1478
0.431188	5	1	3	1478
0.43119	5	1	3	1478
0.431191	5	1	3	1478
0.431192	5	1	3	1478
0.431193	5	1	3	1478
0.431194	5	1	3	1478
0.431196	5	1	3	1478
0.431197	5	1	3	1478
0.431198	5	1	3	1478
0.431199	5	1	3	1478
0.431201	5	1	3	1478
0.431202	5	1	3	1478
0.431203	5	1	3	1478
0.431204	5	1	3	1478
0.431205	5	1	3	1478
0.431207	5	1	3	1478
0.431208	5	1	3	1478
0.431209	5	1	3	1478
0.43121	5	1	3	1478
0.431211	5	1	3	1478
0.431213	5	1	3	1478
0.431214	5	1	3	1478
0.431215	5	1	3	1478
0.431216	5	1	3	1478
0.431218	5	1	3	1478
0.491607	5	2	3	1478
0.491608	5	2	3	1478
0.491609	5	2	3	1478
0.49161	5	2	3	1478
0.491612	5	2	3	1478
0.491613	5	2	3	1478
0.491614	5	2	3	1478
0.491615	5	2	3	1478
0.491616	5	2	3	1478
0.491618	5	2	3	1478
0.491619	5	2	3	1478
0.49162	5	2	3	1478
0.491621	5	2	3	1478
0.491622	5	2	3	1478
0.491624	5	2	3	1478
0.491625	5	2	3	1478
0.491626	5	2	3	1478
0.491627	5	2	3	1478
0.491629	5	2	3	1478
0.49163	5	2	3	1478
0.491631	5	2	3	1478
0.491632	5	2	3	1478
0.491633	5	2	3	1478
0.491635	5	2	3	1478
0.491636	5	2	3	1478
0.491637	5	2	3	1478
0.491638	5	2	3	1478
0.491639	5	2	3	1478
0.491641	5	2	3	1478
0.491642	5	2	3	1478
0.491643	5	2	3	1478
0.491644	5	2	3	1478
0.491646	5	2	3	1478
0.491647	5	2	3	1478
0.491648	5	2	3	1478
0.491649	5	2	3	1478
0.49165	5	2	3	1478
0.491652	5	2	3	1478
0.491653	5	2	3	1478
