time(s)	cellId	rnti	lcid	packetSize	delay(s)
0.447564	5	1	3	1478	0.0166175
0.447564	5	1	3	1478	0.0166162
0.447564	5	1	3	1478	0.016615
0.447564	5	1	3	1478	0.0166138
0.447564	5	1	3	1478	0.0166126
0.448064	5	1	3	1478	0.0171114
0.448064	5	1	3	1478	0.0171102
0.448064	5	1	3	1478	0.017109
0.448064	5	1	3	1478	0.0171077
0.448529	5	1	3	1478	0.0175708
0.448529	5	1	3	1478	0.0175696
0.448529	5	1	3	1478	0.0175684
0.448529	5	1	3	1478	0.0175672
0.449064	5	1	3	1478	0.0181017
0.449064	5	1	3	1478	0.0181005
0.449064	5	1	3	1478	0.0180993
0.449064	5	1	3	1478	0.018098
0.449564	5	1	3	1478	0.0185968
0.449564	5	1	3	1478	0.0185956
0.449564	5	1	3	1478	0.0185944
0.449564	5	1	3	1478	0.0185932
0.449564	5	1	3	1478	0.018592
0.450064	5	1	3	1478	0.0190908
0.450064	5	1	3	1478	0.0190895
0.450064	5	1	3	1478	0.0190883
0.450064	5	1	3	1478	0.0190871
0.450564	5	1	3	1478	0.0195859
0.450564	5	1	3	1478	0.0195847
0.450564	5	1	3	1478	0.0195835
0.450564	5	1	3	1478	0.0195823
0.450564	5	1	3	1478	0.019581
0.451064	5	1	3	1478	0.0200798
0.451064	5	1	3	1478	0.0200786
0.451064	5	1	3	1478	0.0200774
0.451064	5	1	3	1478	0.0200762
0.451564	5	1	3	1478	0.020575
0.451564	5	1	3	1478	0.0205738
0.451564	5	1	3	1478	0.0205725
0.451564	5	1	3	1478	0.0205713
0.452064	5	1	3	1478	0.0210701
0.452064	5	1	3	1478	0.0210689
0.452064	5	1	3	1478	0.0210677
0.452064	5	1	3	1478	0.0210665
0.452064	5	1	3	1478	0.0210653
0.452564	5	1	3	1478	0.021564
0.452564	5	1	3	1478	0.0215628
0.452564	5	1	3	1478	0.0215616
0.452564	5	1	3	1478	0.0215604
0.453064	5	1	3	1478	0.0220592
0.453064	5	1	3	1478	0.022058
0.453064	5	1	3	1478	0.0220568
0.453064	5	1	3	1478	0.0220555
